name,class,RNA,Protein,reg_group
AAAS,Amp,0.3717923790661479,1.008215683944921,Compensated
AAAS,CNLOH,0.3678385940293548,0.16991462216942996,Compensated
AACS,Amp,0.6923188969059129,0.7349957132804825,Compensated
AACS,CNLOH,0.40011947607043774,0.8917310424465656,Compensated
AADAT,Amp,0.5156777149151348,1.161888706975461,Compensated
AADAT,CNLOH,-0.5633137882050581,-0.6235830682555392,Hyper-responders
AADAT,del,0.44095902498237205,0.2516697956669942,Compensated
AAGAB,Amp,0.26521026901402495,0.4389928704682531,Compensated
AAGAB,CNLOH,0.23904378474075594,-0.22674505787026622,RNA-comp.
AAGAB,del,0.7240404989587017,0.6946089170430917,Compensated
AAK1,Amp,0.9049205513927474,0.5230686875253545,Compensated
AAMDC,Amp,0.2148971350978125,0.3408434304096137,Compensated
AAMDC,CNLOH,0.1024040652237684,0.39072787623065564,Intermediate/Other
AAMP,Amp,0.7131518777630181,0.3748073629005409,Compensated
AAMP,CNLOH,1.168849742866225,0.30990319492274615,Compensated
AAR2,Amp,0.6439503942343316,0.5097636813317303,Compensated
AARS1,Amp,0.6558471481594643,0.43650121636132816,Compensated
AARS1,CNLOH,-0.7888644121129491,-0.2186304502909427,Hyper-responders
AARS2,Amp,0.7250812222559768,0.3784424307525383,Compensated
AARS2,CNLOH,0.6285363698462263,0.25462431309928163,Compensated
AARSD1,Amp,1.3262635364206983,0.7582378848367031,Compensated
AARSD1,CNLOH,-1.1192996172599248,0.3709374421177841,Prot-comp.
AARSD1,del,-0.6233120952094434,0.5288666906326184,Prot-comp.
AASDHPPT,Amp,0.5859337951962119,0.6375930228239065,Compensated
AASDHPPT,CNLOH,-0.48067901500034427,-0.1682287790202893,Hyper-responders
AASS,Amp,2.020999783260701,1.3215215274729881,Compensated
AASS,CNLOH,2.005085305949018,0.691469440917568,Compensated
AASS,del,-0.9409277873433032,-0.47557579125688154,Hyper-responders
AATF,Amp,-0.7533030113527543,0.8315193970057781,Prot-comp.
AATF,CNLOH,0.9404309754366424,-0.5124588854569418,RNA-comp.
AATF,del,1.4387007862125454,-0.6862024100894807,RNA-comp.
ABAT,Amp,0.46388073921040357,0.8950065449092467,Compensated
ABAT,del,-1.0129180911801994,-1.1857080811416663,Hyper-responders
ABCA2,Amp,0.2717796901374254,0.7846623041320303,Compensated
ABCA2,CNLOH,0.9537590651335235,0.7351875596779247,Compensated
ABCA3,Amp,2.2255764845251704,1.0595363145387893,Compensated
ABCA3,del,1.6389282927384667,1.5721020972455895,Compensated
ABCB1,Amp,0.5185306345696656,-0.15147674120024418,RNA-comp.
ABCB1,CNLOH,-2.015284594309851,-2.4732304019351146,Hyper-responders
ABCB10,Amp,0.41459108118035626,0.7790154529950443,Compensated
ABCB10,del,-0.5730036173959323,0.3950447172542657,Prot-comp.
ABCB6,Amp,-0.5670991767820037,1.2990405086540537,Prot-comp.
ABCB6,CNLOH,-1.3764004042276836,1.1059155751454925,Prot-comp.
ABCB7,Amp,0.9170902209725899,1.220451946892656,Compensated
ABCB7,CNLOH,0.488984753105777,-0.0813610375395868,Intermediate/Other
ABCB7,del,0.21723508038355743,0.9394850193910378,Compensated
ABCB8,Amp,0.7913770741706143,0.5205146096565538,Compensated
ABCB8,CNLOH,0.3957604563721113,0.26666599989387274,Compensated
ABCB8,del,-0.7585601053104019,0.4248484429961768,Prot-comp.
ABCC1,Amp,0.20161676353275546,0.6550311479087805,Compensated
ABCC1,del,-1.1682288151288227,-1.2576050554723142,Hyper-responders
ABCC10,Amp,0.5327411578366463,0.27582542555749356,Compensated
ABCC10,CNLOH,0.9845928268670321,0.8459014569886681,Compensated
ABCC3,Amp,0.6088237929439086,0.8613238021364509,Compensated
ABCC3,CNLOH,0.4560687847148439,1.0168114455130337,Compensated
ABCC3,del,-0.39640717357908517,-0.7181204345757032,Hyper-responders
ABCC4,Amp,0.27861500395960026,0.3118959344436729,Compensated
ABCC5,Amp,0.5665485441545706,0.6140003706639955,Compensated
ABCC5,CNLOH,-0.5482768870381881,-0.21706701708708298,Hyper-responders
ABCD1,Amp,1.1074205286035501,1.2653279169542795,Compensated
ABCD1,CNLOH,0.5264496692267298,0.6382035618177488,Compensated
ABCD1,del,1.964919460246505,4.108166981809293,Compensated
ABCD3,Amp,0.5318608167720194,0.49942383711882515,Compensated
ABCD3,CNLOH,-0.03934912792431089,0.583400047883799,Intermediate/Other
ABCD3,del,0.7919206060363719,0.8460326820451828,Compensated
ABCD4,Amp,0.5129790491836019,1.0841270458600545,Compensated
ABCD4,CNLOH,-0.4102358158249064,-0.2699760886412264,Hyper-responders
ABCD4,del,-0.7024300235412493,-0.3552565857085801,Hyper-responders
ABCE1,Amp,0.5093214917849864,0.8046014878104695,Compensated
ABCE1,CNLOH,-0.2221366296209828,-0.19676464614166383,Hyper-responders
ABCE1,del,0.8594521923763189,1.0109701434704643,Compensated
ABCF1,Amp,0.13149982556361897,0.2927635140199928,Intermediate/Other
ABCF1,CNLOH,0.022489345200471356,0.5823687777566442,Intermediate/Other
ABCF1,del,0.4781580085139933,0.6810920526911983,Compensated
ABCF2,Amp,4.07761071299697,0.5744328448090551,Compensated
ABCF2,CNLOH,-0.48048523971742974,-0.1963429983449776,Hyper-responders
ABCF2,del,-7.559229234612255,-0.2608375493982254,Hyper-responders
ABCF3,Amp,0.7888759432469419,1.086107118470751,Compensated
ABCF3,CNLOH,-0.6116821301711046,-0.11228043246675966,Intermediate/Other
ABHD10,Amp,0.7934766051861952,0.4987337028029416,Compensated
ABHD10,CNLOH,-0.7724970920794287,-0.6944273359011383,Hyper-responders
ABHD11,Amp,0.5911405944880854,0.5118000587784077,Compensated
ABHD11,CNLOH,0.19853354652779204,0.20886769215878437,Compensated
ABHD12,Amp,0.6839617555708779,0.7787539790929383,Compensated
ABHD12,CNLOH,0.5285938782067597,-0.65211354821632606,RNA-comp.
ABHD13,Amp,0.331915838081296,0.5489325107231977,Compensated
ABHD14B,Amp,0.404882449614613,0.6017853495824058,Compensated
ABHD14B,CNLOH,-0.21912512760048924,-0.3571768410876389,Hyper-responders
ABHD14B,del,0.3484068946968484,0.5393758264352939,Compensated
ABHD15,Amp,0.1826363604030372,0.3884033446025045,Compensated
ABHD15,CNLOH,0.22564161364529808,0.15086188562496336,Compensated
ABHD15,del,0.39065153875601855,0.8303274711299627,Compensated
ABHD16A,Amp,0.33698096700526864,0.415049299793992,Compensated
ABHD16A,CNLOH,0.20191252154736591,0.10638044480041192,Intermediate/Other
ABHD16A,del,-2.6008279389220395,-0.34471067479578055,Hyper-responders
ABHD17A,Amp,0.7408425928510777,0.2805979036299822,Compensated
ABHD17A,CNLOH,0.5476183991036292,0.6415100568522122,Compensated
ABHD17B,Amp,0.3332135376901969,0.9820728971981999,Compensated
ABHD17B,CNLOH,-0.4790521124265197,-0.5421893996292622,Hyper-responders
ABHD17C,Amp,0.3537600944484132,0.7757515318988142,Compensated
ABHD17C,CNLOH,0.20903465331733,0.28788509137030566,Compensated
ABHD18,Amp,0.21901306635158627,1.4521541736412265,Compensated
ABHD18,CNLOH,-0.09916391668371421,-0.3268226416139228,Intermediate/Other
ABHD18,del,0.8545364305952091,1.1132701485628744,Compensated
ABHD2,Amp,1.2671574267487382,0.1532271010574624,Compensated
ABHD2,CNLOH,0.8189864313672367,0.46848715728781165,Compensated
ABHD3,Amp,0.22178923769344894,1.4025028875282353,Compensated
ABHD3,CNLOH,-0.03883003842821395,-0.27272126417023435,Intermediate/Other
ABHD3,del,0.4121813274634397,0.9932486967476092,Compensated
ABHD4,Amp,0.2884393231621534,0.6371609253998649,Compensated
ABHD4,CNLOH,-0.20110407440247152,-0.24945790872969864,Hyper-responders
ABHD5,Amp,0.06482148439775942,0.19426795092814436,Intermediate/Other
ABHD5,CNLOH,-0.20911583035252784,0.05500415412859574,Intermediate/Other
ABHD5,del,0.7045395105485285,0.025957724380750835,Intermediate/Other
ABHD6,Amp,0.7809248941319467,0.6764545886157838,Compensated
ABHD6,CNLOH,-0.2719992744783904,0.05516366472700311,Intermediate/Other
ABHD6,del,0.383749382147877,0.7987146854411659,Compensated
ABI1,Amp,0.07233591656783622,0.5067818018564473,Intermediate/Other
ABI1,CNLOH,-0.9225488029261654,-0.3987790413167347,Hyper-responders
ABI1,del,0.8966007691188053,0.6720296083273715,Compensated
ABI2,Amp,0.5493707055368309,0.7667117066184046,Compensated
ABI2,CNLOH,0.39235292120896664,0.11058448195553547,Intermediate/Other
ABITRAM,Amp,0.6709692924091388,0.47177169461302915,Compensated
ABITRAM,CNLOH,-0.1474322227656704,0.3831349624883421,Intermediate/Other
ABL1,Amp,0.18758844680103318,0.6552556198246586,Compensated
ABL1,CNLOH,0.170433336992262,0.20879450456143434,Compensated
ABL2,Amp,0.49047858268458017,0.03815363557946194,Intermediate/Other
ABLIM1,Amp,0.9567112226190333,0.48421102674466293,Compensated
ABLIM1,CNLOH,0.5848461354165174,0.08301310628556613,Intermediate/Other
ABLIM2,Amp,-0.13079162249187565,0.6328042415125223,Intermediate/Other
ABLIM2,CNLOH,0.20739344262029785,0.1225395250850018,Intermediate/Other
ABLIM2,del,0.3199076456633826,0.6751114204500683,Compensated
ABRACL,Amp,-0.04322586112296434,0.6093544502298502,Intermediate/Other
ABRACL,CNLOH,0.43364804282968267,0.18031770593681637,Compensated
